                 Time,              V(C2:2),              V(C1:2)
0,-6.18E-19,6.92E-19
1.00E-11,0.008914152,0.002388204
2.00E-11,0.017860088,0.004785534
4.00E-11,0.035752326,0.009580299
8.00E-11,0.071537212,0.019169968
1.60E-10,0.143107906,0.038349636
3.20E-10,0.286249578,0.076709144
6.40E-10,0.572533071,0.153428316
1.00E-09,0.894597709,0.239736557
1.06E-09,0.894637644,0.239748865
1.16E-09,0.894637704,0.23974888
1.36E-09,0.894637704,0.23974888
1.77E-09,0.894637525,0.239748836
2.59E-09,0.894637167,0.239748687
4.23E-09,0.894636333,0.239748359
6.23E-09,0.89463532,0.239747941
8.23E-09,0.894633532,0.239747196
1.00E-08,0.894631684,0.239746377
1.01E-08,0.805202603,0.215781584
1.03E-08,0.626280248,0.167833924
1.07E-08,0.268435478,0.071938612
1.10E-08,5.80E-05,1.88E-05
1.10E-08,2.64E-05,9.68E-06
1.10E-08,2.57E-05,9.47E-06
1.10E-08,2.60E-05,9.55E-06
1.10E-08,2.60E-05,9.55E-06
1.11E-08,2.60E-05,9.55E-06
1.12E-08,2.59E-05,9.54E-06
1.13E-08,2.58E-05,9.50E-06
1.17E-08,2.58E-05,9.48E-06
1.24E-08,2.58E-05,9.47E-06
1.37E-08,2.58E-05,9.47E-06
1.57E-08,2.57E-05,9.46E-06
1.77E-08,2.57E-05,9.46E-06
1.97E-08,2.56E-05,9.45E-06
2.00E-08,2.56E-05,9.45E-06
2.00E-08,0.004718714,0.001266512
2.00E-08,0.014168209,0.003798773
2.00E-08,0.033068482,0.008863689
2.01E-08,0.070867963,0.018993195
2.02E-08,0.146465614,0.039251767
2.03E-08,0.297659546,0.079768382
2.07E-08,0.600043714,0.160800174
2.10E-08,0.894558907,0.239722386
2.11E-08,0.894576669,0.239726067
2.12E-08,0.894576728,0.239726067
2.14E-08,0.894576669,0.239726067
2.19E-08,0.894576609,0.239726052
2.28E-08,0.894576371,0.239725992
2.46E-08,0.894575655,0.239725813
2.66E-08,0.894574583,0.239725515
2.86E-08,0.89457339,0.239725173
3.00E-08,0.894572258,0.23972483
3.01E-08,0.805143178,0.215760171
3.03E-08,0.626220822,0.167812511
3.07E-08,0.268376082,0.071917199
3.10E-08,-1.37E-06,-2.66E-06
3.10E-08,-3.30E-05,-1.17E-05
3.10E-08,-3.37E-05,-1.20E-05
3.10E-08,-3.34E-05,-1.19E-05
3.10E-08,-3.34E-05,-1.19E-05
3.11E-08,-3.34E-05,-1.19E-05
3.12E-08,-3.35E-05,-1.19E-05
3.13E-08,-3.36E-05,-1.19E-05
3.17E-08,-3.36E-05,-1.19E-05
3.24E-08,-3.36E-05,-1.19E-05
3.37E-08,-3.36E-05,-1.20E-05
3.57E-08,-3.37E-05,-1.20E-05
3.77E-08,-3.37E-05,-1.20E-05
3.97E-08,-3.38E-05,-1.20E-05
4.00E-08,-3.38E-05,-1.20E-05
4.00E-08,0.004657362,0.00124457
4.00E-08,0.014102951,0.003775784
4.00E-08,0.03299541,0.008838607
4.01E-08,0.070779271,0.018963927
4.02E-08,0.146345675,0.039214123
4.03E-08,0.297477126,0.079714
4.07E-08,0.599738657,0.160713166
4.10E-08,0.894506156,0.239703536
4.11E-08,0.894523323,0.239707157
4.12E-08,0.894523323,0.239707157
4.14E-08,0.894523323,0.239707157
4.19E-08,0.894523203,0.239707127
4.28E-08,0.894522965,0.239707068
4.46E-08,0.894522309,0.239706904
4.66E-08,0.894521236,0.239706606
4.86E-08,0.894520104,0.239706278
5.00E-08,0.894519031,0.239705935
5.01E-08,0.805089951,0.215741277
5.03E-08,0.626167595,0.167793632
