                 Time,               I(VT1)
0,0
4.00E-11,-2.73E-08
8.00E-11,-5.33E-08
1.60E-10,-1.01E-07
3.20E-10,-1.91E-07
6.40E-10,-3.50E-07
1.28E-09,-6.38E-07
2.56E-09,5.96E-07
4.26E-09,9.28E-08
5.99E-09,-1.31E-08
9.45E-09,-1.04E-08
1.35E-08,-7.74E-09
1.75E-08,-7.22E-09
2.00E-08,-6.57E-09
2.04E-08,6.03E-09
2.12E-08,7.47E-09
2.28E-08,6.53E-09
2.60E-08,7.70E-09
3.00E-08,8.73E-09
3.40E-08,1.03E-08
3.80E-08,1.33E-08
4.20E-08,1.08E-07
4.60E-08,1.27E-06
5.00E-08,2.50E-06
5.40E-08,3.74E-06
5.80E-08,4.99E-06
6.00E-08,5.63E-06
6.04E-08,5.51E-06
6.12E-08,5.28E-06
6.28E-08,4.88E-06
6.60E-08,4.10E-06
7.00E-08,3.00E-06
7.40E-08,1.82E-06
7.80E-08,6.19E-07
8.20E-08,-6.00E-07
8.60E-08,-1.83E-06
9.00E-08,-3.06E-06
9.40E-08,-4.30E-06
9.80E-08,-5.54E-06
1.00E-07,-6.16E-06
1.00E-07,-6.18E-06
1.01E-07,-6.18E-06
1.03E-07,-6.16E-06
1.06E-07,-6.10E-06
1.07E-07,-6.09E-06
1.08E-07,-6.03E-06
1.10E-07,-5.60E-06
1.12E-07,1.68E-06
1.13E-07,1.81E-07
1.17E-07,-9.17E-09
1.20E-07,-7.28E-10
1.20E-07,-6.14E-11
1.20E-07,6.55E-09
1.21E-07,8.07E-09
1.21E-07,7.00E-09
1.23E-07,7.79E-09
1.25E-07,8.47E-09
1.29E-07,9.69E-09
1.33E-07,1.20E-08
1.37E-07,1.65E-08
1.38E-07,1.90E-08
1.39E-07,2.14E-08
1.39E-07,2.35E-08
1.40E-07,3.66E-08
1.40E-07,4.94E-08
1.40E-07,1.02E-07
1.40E-07,2.44E-07
1.41E-07,5.61E-07
1.43E-07,1.22E-06
1.47E-07,2.57E-06
1.51E-07,3.94E-06
1.55E-07,5.30E-06
1.59E-07,6.69E-06
1.60E-07,6.87E-06
1.60E-07,6.73E-06
1.61E-07,6.47E-06
1.63E-07,5.98E-06
1.66E-07,5.10E-06
1.70E-07,3.89E-06
1.74E-07,2.61E-06
1.78E-07,1.29E-06
1.82E-07,-5.12E-08
1.86E-07,-1.40E-06
1.90E-07,-2.75E-06
1.94E-07,-4.11E-06
1.98E-07,-5.47E-06
2.00E-07,-6.16E-06
