                 Time,              V(M1:d)
0,0
8.00E-12,-0.000296005
1.60E-11,-0.00088312
3.20E-11,-0.003187266
6.40E-11,-0.010002234
1.28E-10,-0.036309462
2.56E-10,-0.137703508
2.88E-10,-0.174424276
3.52E-10,-0.266094774
3.68E-10,-0.294429988
4.00E-10,-0.363000989
4.08E-10,-0.384409606
4.24E-10,-0.440238893
4.56E-10,-0.517458737
4.57E-10,-0.512667835
4.59E-10,-0.511536479
4.63E-10,-0.511930823
4.71E-10,-0.512292445
4.87E-10,-0.512857974
5.19E-10,-0.514077485
5.83E-10,-0.516751051
7.11E-10,-0.523126125
9.67E-10,-0.539940357
1.00E-09,-0.542494774
1.05E-09,-0.563245475
1.15E-09,-0.60978651
1.18E-09,-0.622119009
1.23E-09,-0.647393703
1.33E-09,-0.699673176
1.54E-09,-0.808238924
1.59E-09,-0.835854948
1.69E-09,-0.891426146
1.90E-09,-1.003437161
1.95E-09,-1.031558394
2.05E-09,-1.087890267
2.25E-09,-1.200793624
2.31E-09,-1.229038358
2.41E-09,-1.285541773
2.61E-09,-1.398623705
3.02E-09,-1.476454854
3.82E-09,-1.073914051
4.62E-09,-0.716213942
5.42E-09,-0.595376968
6.22E-09,-0.496677786
7.02E-09,-0.435981631
7.82E-09,-0.384877563
8.62E-09,-0.347594827
9.42E-09,-0.315510124
1.00E-08,-0.29686144
1.01E-08,-0.273236305
1.02E-08,-0.25769338
1.06E-08,-0.266602188
1.12E-08,-0.283694983
1.20E-08,-0.30972594
1.28E-08,-0.340363413
1.36E-08,-0.37866804
1.44E-08,-0.426721126
1.52E-08,-0.490178853
1.60E-08,-0.57796073
1.68E-08,-0.711368084
1.76E-08,-0.958613932
1.77E-08,-1.008140683
1.79E-08,-1.144128799
1.80E-08,-1.192648888
1.81E-08,-1.347185016
1.81E-08,-1.355669498
1.81E-08,-1.374884009
1.81E-08,-1.435210824
1.81E-08,-1.438621402
1.81E-08,-1.446553588
1.81E-08,-1.448876381
1.81E-08,-1.45419836
1.81E-08,-1.464874625
1.81E-08,-1.464925647
1.81E-08,-1.464924932
1.81E-08,-1.464871883
1.81E-08,-1.464768887
1.81E-08,-1.464577079
1.81E-08,-1.464188576
1.81E-08,-1.463411093
1.81E-08,-1.461856365
1.81E-08,-1.45874691
1.81E-08,-1.452528358
1.81E-08,-1.440092683
1.82E-08,-1.415226936
1.83E-08,-1.365515947
1.85E-08,-1.266161323
1.89E-08,-1.067702293
1.97E-08,-0.679217517
2.05E-08,-0.721182108
2.13E-08,-9.503696442
2.21E-08,-10.45880222
2.29E-08,-10.02206421
2.37E-08,-9.996509552
2.45E-08,-9.999645233
2.53E-08,-10.00031281
2.61E-08,-10.00000763
2.69E-08,-9.99998951
2.77E-08,-9.999994278
2.85E-08,-9.99998951
2.93E-08,-9.999992371
3.00E-08,-9.999992371
3.01E-08,-9.999996185
3.02E-08,-9.999988556
3.06E-08,-9.999991417
3.12E-08,-9.999992371
3.20E-08,-9.999991417
3.28E-08,-9.999991417
3.36E-08,-9.999991417
3.44E-08,-9.999991417
3.52E-08,-9.999991417
3.60E-08,-9.999991417
3.68E-08,-9.999991417
3.76E-08,-9.999991417
3.84E-08,-9.999991417
3.92E-08,-9.999991417
4.00E-08,-9.999993324
