                 Time,              V(C1:2)
0,-6.93E-19
2.00E-11,-6.93E-19
4.00E-11,-6.93E-19
8.00E-11,-6.93E-19
1.60E-10,-6.93E-19
3.20E-10,-6.93E-19
6.40E-10,-6.93E-19
1.28E-09,-6.93E-19
2.00E-09,-7.27E-11
2.01E-09,-0.001405188
2.04E-09,-0.004284311
2.08E-09,-0.010048432
2.18E-09,-0.021571962
2.37E-09,-0.044616494
2.75E-09,-0.090705156
3.51E-09,-0.182880506
5.03E-09,-0.367220044
8.07E-09,-0.593274415
1.14E-08,-0.604047894
1.20E-08,-0.601144016
1.20E-08,-0.588327765
1.21E-08,-0.564775109
1.23E-08,-0.521906197
1.26E-08,-0.442728132
1.32E-08,-0.176161125
1.36E-08,0.022058118
1.40E-08,0.191184253
1.41E-08,0.23155582
1.42E-08,0.290122837
1.44E-08,0.407257229
1.49E-08,0.641525626
1.58E-08,1.110061169
1.77E-08,2.047127008
2.14E-08,3.9212358
2.20E-08,4.19958353
2.22E-08,4.199832439
2.25E-08,4.199834347
2.31E-08,4.199834347
2.44E-08,4.199834347
2.70E-08,4.199832439
3.20E-08,4.199831963
3.25E-08,4.199831963
3.36E-08,4.199831963
3.56E-08,4.199831963
3.80E-08,4.199831963
3.84E-08,4.199955463
3.92E-08,4.199967861
4.09E-08,4.199988365
4.42E-08,4.200025082
4.80E-08,4.200057983
4.82E-08,4.118550777
4.85E-08,3.955272198
4.91E-08,3.628713846
5.04E-08,2.975595474
5.31E-08,1.823133826
5.62E-08,1.053091526
5.80E-08,0.624671876
5.82E-08,0.624617517
5.87E-08,0.624617457
5.96E-08,0.624617457
6.15E-08,0.624617517
6.53E-08,0.624617517
6.80E-08,0.624617517
6.82E-08,0.624617517
6.86E-08,0.624617517
6.95E-08,0.624617517
7.12E-08,0.624617517
7.40E-08,0.624617457
7.43E-08,0.593117654
7.48E-08,0.53004545
7.58E-08,0.403900892
7.79E-08,0.151611641
8.21E-08,-0.352945238
8.40E-08,-0.561759353
8.41E-08,-0.540654838
8.42E-08,-0.499262869
8.46E-08,-0.417733312
8.52E-08,-0.177096888
8.56E-08,0.016330676
8.59E-08,0.17308259
8.61E-08,0.234897867
8.62E-08,0.296084404
8.64E-08,0.418457359
8.69E-08,0.663203001
8.79E-08,1.152692795
8.99E-08,2.13166666
9.38E-08,4.089589596
9.40E-08,4.199586868
9.41E-08,4.1998353
9.44E-08,4.199837685
9.49E-08,4.199837685
9.59E-08,4.199837685
9.78E-08,4.199836254
1.02E-07,4.1998353
1.04E-07,4.1998353
