                 Time,              V(R1:2)
0,0
0.0002,0.000528162
0.0004,0.001056296
0.0008,0.002112483
0.0016,0.004224528
0.0032,0.008447303
0.0064,0.016887559
0.0128,0.033746678
0.0256,0.067377552
0.0456,0.119683817
0.0656,0.171679839
0.0856,0.223347276
0.1056,0.274666429
0.1256,0.325616091
0.1456,0.376173556
0.1656,0.426314324
0.1856,0.476012111
0.2056,0.525238514
0.2256,0.573963165
0.2456,0.622153103
0.2656,0.669772983
0.2856,0.716784716
0.3056,0.763147295
0.3256,0.808816493
0.3456,0.853744745
0.3656,0.897880971
0.3856,0.941170216
0.4056,0.983553529
0.4256,1.02496767
0.4456,1.06534493
0.4656,1.104613423
0.4856,1.142696023
0.5056,1.179511428
0.5256,1.21497333
0.5456,1.248991251
0.5656,1.281470299
0.5856,1.312311888
0.6056,1.341414094
0.6256,1.368672967
0.6456,1.393982768
0.6656,1.417237878
0.6856,1.438333869
0.7056,1.457169533
0.7256,1.47364819
0.7456,1.487680078
0.7656,1.499184132
0.7856,1.508090019
0.8056,1.514340162
0.8256,1.51789093
0.8456,1.519171
0.8656,1.520204306
0.8856,1.521234274
0.9056,1.522260666
0.9256,1.523283601
0.9456,1.524303198
0.9656,1.525319338
0.9856,1.526332021
1,1.527059078
