                 Time,              V(R1:2)
0,1.50E-09
0.0002,1.50E-09
0.0004,1.50E-09
0.0008,1.50E-09
0.0016,1.50E-09
0.0032,1.50E-09
0.0064,1.50E-09
0.0128,1.50E-09
0.0256,1.50E-09
0.0456,1.50E-09
0.0656,1.50E-09
0.0856,1.50E-09
0.1056,1.50E-09
0.1256,1.50E-09
0.1456,1.50E-09
0.1656,1.50E-09
0.1856,1.50E-09
0.2056,1.50E-09
0.2256,1.50E-09
0.2456,1.50E-09
0.2656,1.50E-09
0.2856,1.50E-09
0.3056,1.50E-09
0.3256,1.50E-09
0.3456,1.50E-09
0.3656,1.50E-09
0.3856,1.50E-09
0.4056,1.50E-09
0.4256,1.50E-09
0.4456,1.50E-09
0.4656,1.50E-09
0.4856,1.50E-09
0.5056,1.50E-09
0.5256,1.50E-09
0.5456,1.50E-09
0.5656,1.50E-09
0.5856,1.50E-09
0.6056,1.50E-09
0.6256,1.50E-09
0.6456,0.010159533
0.6656,0.070106573
0.6856,0.183447599
0.7056,0.349729598
0.7256,0.568489134
0.7456,0.839253187
0.7656,1.161539316
0.7856,1.534856558
0.8056,1.943552971
0.8256,2.108594894
0.8456,2.216587782
0.8656,2.30792594
0.8856,2.390811443
0.9056,2.468546391
0.9256,2.5428195
0.9456,2.614614725
0.9656,2.684557676
0.9856,2.753069639
1,2.801682472
