                 Time,              V(R1:2)
0,0
0.0002,4.17E-13
0.0004,8.37E-13
0.0008,1.69E-12
0.0016,3.42E-12
0.0032,7.05E-12
0.0064,1.51E-11
0.0128,3.63E-11
0.0256,1.31E-10
0.0456,1.05E-09
0.0656,1.02E-08
0.0856,1.03E-07
0.1056,1.04E-06
0.1256,1.06E-05
0.1456,0.000107553
0.1656,0.001054784
0.1856,0.008151572
0.2056,0.032406583
0.2256,0.071764946
0.2456,0.118664041
0.2656,0.169361711
0.2856,0.222229257
0.3056,0.276472121
0.3256,0.331654876
0.3456,0.387517005
0.3656,0.443891406
0.3856,0.50066489
0.4056,0.557757735
0.4256,0.61511147
0.4456,0.672682226
0.4656,0.730436325
0.4856,0.788347185
0.5056,0.846393526
0.5256,0.904558182
0.5456,0.962827027
0.5656,1.021188259
0.5856,1.079631925
0.6056,1.138149738
0.6256,1.196734309
0.6456,1.255379677
0.6656,1.314080238
0.6856,1.372831583
0.7056,1.4316293
0.7256,1.490469813
0.7456,1.549349904
0.7656,1.60826683
0.7856,1.667217851
0.8056,1.7262007
0.8256,1.785213232
0.8456,1.844253659
0.8656,1.903320074
0.8856,1.962411165
0.9056,2.021525383
0.9256,2.080661297
0.9456,2.139817953
0.9656,2.198993921
0.9856,2.258188486
1,2.300819635
