                 Time,               I(VC1),               I(VC2),               I(VC3),               I(VC4),               I(VC5)
0,-0.003048819,-0.006674892,-0.010892253,-0.015717948,-0.021169253
0.0002,-0.003047847,-0.006672925,-0.01088927,-0.015713928,-0.021164166
0.0004,-0.003046875,-0.006670958,-0.010886286,-0.015709905,-0.021159079
0.0008,-0.003044931,-0.006667024,-0.010880317,-0.015701855,-0.021148905
0.0016,-0.003041043,-0.006659157,-0.010868378,-0.015685756,-0.021128558
0.0032,-0.003033267,-0.006643421,-0.010844501,-0.015653558,-0.021087861
0.0064,-0.003017713,-0.006611947,-0.010796743,-0.015589157,-0.021006463
0.0128,-0.002986603,-0.006548993,-0.01070122,-0.015460344,-0.020843649
0.0256,-0.002924372,-0.006423061,-0.010510133,-0.015202664,-0.020517955
0.0456,-0.002827103,-0.006226227,-0.010211457,-0.014799899,-0.020008875
0.0656,-0.002729797,-0.006029312,-0.009912658,-0.014396963,-0.019499574
0.0856,-0.002632451,-0.005832318,-0.009613735,-0.013993854,-0.018990051
0.1056,-0.002535067,-0.005635244,-0.009314687,-0.013590573,-0.018480305
0.1256,-0.002437644,-0.005438089,-0.009015515,-0.013187121,-0.017970337
0.1456,-0.002340183,-0.005240854,-0.008716217,-0.012783497,-0.017460147
0.1656,-0.002242683,-0.00504354,-0.008416794,-0.012379699,-0.016949732
0.1856,-0.002145144,-0.004846144,-0.008117247,-0.011975731,-0.016439097
0.2056,-0.002047567,-0.004648669,-0.007817576,-0.011571589,-0.015928237
0.2256,-0.00194995,-0.004451112,-0.007517779,-0.011167275,-0.015417154
0.2456,-0.001852295,-0.004253476,-0.007217857,-0.010762788,-0.014905849
0.2656,-0.001754601,-0.004055759,-0.00691781,-0.010358129,-0.014394319
0.2856,-0.001656869,-0.003857961,-0.006617637,-0.009953296,-0.013882565
0.3056,-0.001559097,-0.003660083,-0.00631734,-0.009548291,-0.013370589
0.3256,-0.001461287,-0.003462124,-0.006016917,-0.009143111,-0.012858388
0.3456,-0.001363438,-0.003264084,-0.005716368,-0.00873776,-0.012345963
0.3656,-0.001265549,-0.003065964,-0.005415694,-0.008332234,-0.011833314
0.3856,-0.001167622,-0.002867763,-0.005114894,-0.007926535,-0.01132044
0.4056,-0.001069656,-0.002669481,-0.004813968,-0.007520663,-0.010807342
0.4256,-0.000971651,-0.002471118,-0.004512917,-0.007114616,-0.010294019
0.4456,-0.000873607,-0.002272674,-0.00421174,-0.006708396,-0.009780471
0.4656,-0.000775524,-0.002074149,-0.003910437,-0.006302002,-0.009266698
0.4856,-0.000677401,-0.001875543,-0.003609007,-0.005895434,-0.0087527
0.5056,-0.00057924,-0.001676856,-0.003307452,-0.005488693,-0.008238478
0.5256,-0.00048104,-0.001478088,-0.00300577,-0.005081775,-0.007724028
0.5456,-0.0003828,-0.001279238,-0.002703962,-0.004674686,-0.007209355
0.5656,-0.000284521,-0.001080307,-0.002402028,-0.004267418,-0.006694453
0.5856,-0.000189819,-0.000884556,-0.002103006,-0.003862828,-0.006181989
0.6056,-0.000113245,-0.000706856,-0.001822025,-0.003476269,-0.005687534
0.6256,-5.63E-05,-0.000549045,-0.001561156,-0.003110038,-0.005213632
0.6456,-1.91E-05,-0.000411129,-0.001320407,-0.002764161,-0.004760286
0.6656,-1.52E-06,-0.000293115,-0.001099784,-0.002438631,-0.004327508
0.6856,-3.69E-12,-0.000195008,-0.000899294,-0.002133444,-0.003915301
0.7056,4.07E-12,-0.000116816,-0.000718944,-0.001848622,-0.003523677
0.7256,-3.37E-12,-5.85E-05,-0.00055874,-0.001584176,-0.003152641
0.7456,4.18E-12,-2.02E-05,-0.000418689,-0.001340105,-0.002802202
0.7656,-3.28E-12,-1.79E-06,-0.000298797,-0.001116412,-0.002472358
0.7856,4.27E-12,2.06E-13,-0.000199073,-0.000913115,-0.002163146
0.8056,-3.18E-12,-2.62E-12,-0.000119519,-0.000730204,-0.00187453
0.8256,4.39E-12,6.27E-13,-6.01E-05,-0.000567713,-0.001606561
0.8456,-3.04E-12,-2.25E-12,-2.10E-05,-0.000425624,-0.001359205
0.8656,4.56E-12,1.17E-12,-1.96E-06,-0.000303952,-0.001132508
0.8856,-2.83E-12,-1.62E-12,-6.31E-12,-0.000202707,-0.000926442
0.9056,4.78E-12,1.81E-12,1.03E-13,-0.000121891,-0.000741046
0.9256,-2.62E-12,-1.17E-12,-5.92E-12,-6.15E-05,-0.000576302
0.9456,4.98E-12,2.07E-12,5.84E-13,-2.16E-05,-0.000432232
0.9656,-2.43E-12,-9.70E-13,-5.26E-12,-2.09E-06,-0.000308826
0.9856,5.15E-12,2.25E-12,1.53E-12,-3.27E-12,-0.000206117
1,-2.29E-12,-8.24E-13,-4.06E-12,-6.91E-12,-0.000144967
